date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:09:12	148/148	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2011%20May%202019%2014:09:11%20GMT	http://yohoho.io/robots.txt		(from )
09:09:12	90650/90650	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20May%202019%2021:54:07%20GMT	http://yohoho.io/	C:/Users/Administrator%20Accoun/Desktop/Websites/Yohoho.io/yohoho.io/index.html	(from )
09:09:13	842/842	---M--	200	added ('OK')	image/png	etag:%225ca49c44-34a%22	http://yohoho.io/favicon/favicon-32x32.png	C:/Users/Administrator%20Accoun/Desktop/Websites/Yohoho.io/yohoho.io/favicon/favicon-32x32.png	(from http://yohoho.io/)
09:09:13	3149/3149	---M--	200	added ('OK')	image/png	etag:%225ca49c45-c4d%22	http://yohoho.io/favicon/apple-touch-icon.png	C:/Users/Administrator%20Accoun/Desktop/Websites/Yohoho.io/yohoho.io/favicon/apple-touch-icon.png	(from http://yohoho.io/)
09:09:13	572/572	---M--	200	added ('OK')	image/png	etag:%225ca49c45-23c%22	http://yohoho.io/favicon/favicon-16x16.png	C:/Users/Administrator%20Accoun/Desktop/Websites/Yohoho.io/yohoho.io/favicon/favicon-16x16.png	(from http://yohoho.io/)
09:09:14	442/442	---M--	200	added ('OK')	application/octet-stream	etag:%225ca49c44-1ba%22	http://yohoho.io/favicon/site.webmanifest	C:/Users/Administrator%20Accoun/Desktop/Websites/Yohoho.io/yohoho.io/favicon/site.webmanifest	(from http://yohoho.io/)
09:09:14	3433/3433	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225ca49c44-d69%22	http://yohoho.io/favicon/safari-pinned-tab.svg	C:/Users/Administrator%20Accoun/Desktop/Websites/Yohoho.io/yohoho.io/favicon/safari-pinned-tab.svg	(from http://yohoho.io/)
09:09:14	37447/37447	---M-Z	200	added ('OK')	application/javascript	etag:%221419f17d4165274db4b1ad69fc9721c5%22	https://cdn.ravenjs.com/3.26.2/raven.min.js	C:/Users/Administrator%20Accoun/Desktop/Websites/Yohoho.io/cdn.ravenjs.com/3.26.2/raven.min.js	(from http://yohoho.io/)
09:09:14	15086/15086	---MCZ	200	added ('OK')	image/x-icon	etag:W/%225ca49c44-3aee%22	http://yohoho.io/favicon/favicon.ico	C:/Users/Administrator%20Accoun/Desktop/Websites/Yohoho.io/yohoho.io/favicon/favicon.ico	(from http://yohoho.io/)
09:09:15	1504/1504	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225cd5f305-5e0%22	http://yohoho.io/img/lock.svg	C:/Users/Administrator%20Accoun/Desktop/Websites/Yohoho.io/yohoho.io/img/lock.svg	(from http://yohoho.io/)
09:09:15	3154/3154	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20May%202019%2021:54:15%20GMT	http://yohoho.io/about.html	C:/Users/Administrator%20Accoun/Desktop/Websites/Yohoho.io/yohoho.io/about.html	(from http://yohoho.io/)
09:09:16	16877/16877	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20May%202019%2021:54:08%20GMT	http://yohoho.io/privacypolicy.html	C:/Users/Administrator%20Accoun/Desktop/Websites/Yohoho.io/yohoho.io/privacypolicy.html	(from http://yohoho.io/)
09:09:16	787/787	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225cd5f305-313%22	http://yohoho.io/img/close.svg	C:/Users/Administrator%20Accoun/Desktop/Websites/Yohoho.io/yohoho.io/img/close.svg	(from http://yohoho.io/)
09:09:20	23136/23136	---M--	200	added ('OK')	image/png	etag:%225cd5f305-5a60%22	http://yohoho.io/img/chest.png	C:/Users/Administrator%20Accoun/Desktop/Websites/Yohoho.io/yohoho.io/img/chest.png	(from http://yohoho.io/)
09:09:22	37779/37779	---M--	200	added ('OK')	image/png	etag:%225cd5f305-9393%22	http://yohoho.io/img/coins_m.png	C:/Users/Administrator%20Accoun/Desktop/Websites/Yohoho.io/yohoho.io/img/coins_m.png	(from http://yohoho.io/)
09:09:22	15329/15329	---M--	200	added ('OK')	image/png	etag:%225cd5f305-3be1%22	http://yohoho.io/img/safari-share.png	C:/Users/Administrator%20Accoun/Desktop/Websites/Yohoho.io/yohoho.io/img/safari-share.png	(from http://yohoho.io/)
09:09:24	200561/200561	---MCZ	200	added ('OK')	application/javascript	etag:%2230f71-58836e9a5369e-gzip%22	http://api.adinplay.com/libs/aiptag/pub/NTC/yohoho.io/tag.min.js	C:/Users/Administrator%20Accoun/Desktop/Websites/Yohoho.io/api.adinplay.com/libs/aiptag/pub/NTC/yohoho.io/tag.min.js	(from http://yohoho.io/)
09:09:31	99590/99590	---M--	200	added ('OK')	image/png	etag:%225cd5f305-18506%22	http://yohoho.io/img/safari-add-homescreen.png	C:/Users/Administrator%20Accoun/Desktop/Websites/Yohoho.io/yohoho.io/img/safari-add-homescreen.png	(from http://yohoho.io/)
09:09:32	738430/738430	---MCZ	200	added ('OK')	application/javascript	etag:W/%225cd5f302-b447e%22	http://yohoho.io/yohoho.js	C:/Users/Administrator%20Accoun/Desktop/Websites/Yohoho.io/yohoho.io/yohoho.js	(from http://yohoho.io/)
09:09:33	3904/3904	---MCZ	200	added ('OK')	text/html	date:Sat,%2011%20May%202019%2014:09:32%20GMT	http://yohoho.io/cdn-cgi/l/email-protection	C:/Users/Administrator%20Accoun/Desktop/Websites/Yohoho.io/yohoho.io/cdn-cgi/l/email-protection.html	(from http://yohoho.io/privacypolicy.html)
09:09:33	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ccc698d-4d7%22	http://yohoho.io/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/Users/Administrator%20Accoun/Desktop/Websites/Yohoho.io/yohoho.io/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from http://yohoho.io/privacypolicy.html)
